本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
セーターの襟を正して並べけり,-24.211042,0.9862796068191528,0.9999996423721313,セーター,三冬,けり,2,"正し, 並べ",3,"セーター, 襟, けり",17,8,糊浴衣威儀を正して乾きけり,8,春の海岬の数を並べけり,8,メーデーの原宿に来て別れけり
セーターに顎埋めて泣く少女かな,-24.216593,0.9874200820922852,0.9999997019767761,セーター,三冬,かな,2,"埋め, 泣く",3,"セーター, 顎, 少女",17,6,セーターに顎を埋めて少女期去る,8,セーターに乳頭尖らせて少女,9,セーターに顎まで埋め怠惰なり
セーターの胸の高さにはじまれり,-24.227098,0.9847986698150635,0.9999997019767761,セーター,三冬,,1,はじまれ,2,"セーター, 胸",17,7,ポスターの縞馬に夏はじまれり,8,梅雨の雷化石の森にはじまれり,8,泥染の泥の炎天はじまれり
セーターに顎の力のありにけり,-24.241028,0.9641140699386597,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 顎, 力, あり, けり",17,6,幽霊の指に力のありにけり,7,桐一葉村に忌中のありにけり,7,初硯墨に五彩のありにけり
セーターの胸の高さに深入りす,-24.2451,0.9851672649383545,0.9999997019767761,セーター,三冬,,1,深入りす,3,"セーター, 胸, 深入り",17,8,セーターの錨の模様胸を逸れ,8,セーターの胸の薔薇ごと愛さるる,8,梅二月女神の山に深入りす
セーターの胸の高さを誇りとす,-24.250622,0.9843363165855408,0.9999997019767761,セーター,三冬,,1,す,3,"セーター, 胸, 誇り",17,8,笹鳴の笹の高さを移り来つ,8,朱い実で空の高さを計ります,8,セーターの錨の模様胸を逸れ
セーターの紺の匂ひを持ち歩く,-24.270996,0.9849638342857361,0.9999997019767761,セーター,三冬,,2,"匂ひ, 持ち歩く",2,"セーター, 紺",17,6,初売りのパンの匂ひを持ち歩く,8,雪の傘ひとつの齟齬を持ち歩く,8,弓のごとく桜の枝を持ち歩く
セーターの胸の高さを競ひあぐ,-24.292828,0.979486346244812,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 競, ひ",17,7,セーターの上に口あり笑ひあり,8,セーターの中に貧しき丘がある,8,昼寝覚舌の長さを競ひあふ
セーターを着て少年の日を愛す,-24.298395,0.9923444986343384,0.9999997019767761,セーター,三冬,,2,"着, 愛す",3,"セーター, 少年, 日",17,6,セーターを着て晩年のまだ見えず,7,セーターを着て風狂に遠くをり,9,甘藍をだく夕焼の背を愛す
セーターの中に睫毛のありにけり,-24.300032,0.98687344789505,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 中, 睫毛, あり, けり",17,6,水音の中に小春のありにけり,6,金魚玉の中に睡魔のありにけり,7,曝涼の間に姿見のありにけり
セーターを着こなしてゐること忘れ,-24.311657,0.9909390807151794,0.9999996423721313,セーター,三冬,,4,"着, こなし, ゐる, こと忘れ",2,"セーター, こと",17,10,玄冬の川を見てゐることが旅,10,葛の根を叩き潰してゐるところ,10,セーターを着せられし子の兎跳び
セーターを着せられてゐる朝の髪,-24.327896,0.9872651100158691,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 朝, 髪",17,6,セーターを着せられし子の兎跳び,7,死に真似をさせられてゐる春の夢,8,風呂敷を褒められてゐる山の芋
セーターの胸の高さに海青し,-24.329102,0.9854967594146729,0.9999997019767761,セーター,三冬,,1,青し,4,"セーター, 胸, 海, 青",17,7,祈る手の胸の高さに秋の風,7,セーターの錨の模様胸を逸れ,8,秋の野の花の高さに風遊ぶ
セーターの胸の奥より目覚めけり,-24.34875,0.9881493449211121,0.9999997019767761,セーター,三冬,けり,1,目覚め,4,"セーター, 胸, 奥, けり",17,8,セーターの胸にV切る銀ぐさり,8,セーターの胸の薔薇ごと愛さるる,8,セーターの上に口あり笑ひあり
セーターを着ていつまでも歩きをり,-24.371635,0.9965749979019165,0.9999996423721313,セーター,三冬,,2,"着, 歩き",1,セーター,17,7,セーターを着て風狂に遠くをり,9,セルを着て父の世戦後続きをり,9,セーターを着て晩年のまだ見えず
セーターの胸の高さに廻り道,-24.374096,0.9661461710929871,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 胸, 廻り道",17,7,祈る手の胸の高さに秋の風,7,セーターの錨の模様胸を逸れ,8,燈台の膝の高さに黒揚羽
セーターに肩幅広き男あり,-24.411442,0.9897520542144775,0.9999997019767761,セーター,三冬,,1,き,4,"セーター, 肩, 男, あり",17,7,セーターや蒼茫と山北にあり,7,セーターの上に口あり笑ひあり,8,朝顔の実にふれ遠き昔あり
セーターを着せられてゐる教師の手,-24.41309,0.9938859343528748,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 教師, 手",17,7,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,8,死に真似をさせられてゐる春の夢
セーターの襟を正して膝小僧,-24.413631,0.9896340370178223,0.9999997019767761,セーター,三冬,,1,正し,4,"セーター, 襟, 膝, 小僧",17,7,夏山の襟を正して最上川,8,セーターの黒い弾力親不孝,8,セーターの中に貧しき丘がある
セーターの首まつすぐに立ち上がる,-24.414597,0.9818075299263,0.9999997019767761,セーター,三冬,,1,立ち上がる,2,"セーター, 首",17,6,蟻の道碑へまつすぐに立ち上がる,8,サーファーの波の刃に立ち上がる,9,寒の馬首まつすぐに街に入る
セーターの襟を正しと思ひけり,-24.415781,0.9756055474281311,0.9999997019767761,セーター,三冬,けり,2,"正し, 思ひ",3,"セーター, 襟, けり",17,6,久女忌の髪を重しと思ひけり,7,雪の傘人美しと思ひけり,7,枯野ゆく帯を重しと思ひけり
セーターの胸いつぱいに反抗期,-24.4164,0.9867293834686279,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 反抗, 期",17,8,父の日の紙いつぱいに父の顔,8,セーターの黒い弾力親不孝,8,セーターの胸にV切る銀ぐさり
セーターを着て目鼻なき少女かな,-24.44621,0.9951349496841431,0.9999997019767761,セーター,三冬,かな,1,着,3,"セーター, 目鼻, 少女",17,8,セーターを着て晩年のまだ見えず,8,セーターを着て風狂に遠くをり,8,セルを着て髪美しき男かな
セーターの胸の高さの淋しさよ,-24.457315,0.983445405960083,0.9999997019767761,セーター,三冬,,0,,2,"セーター, 胸",17,7,セーターの胸にV切る銀ぐさり,7,嵯峨面の紙の軽さの涼しさよ,7,セーターの胸の薔薇ごと愛さるる
セーターに顎埋めてゐる女優かな,-24.467922,0.9892288446426392,0.9999997019767761,セーター,三冬,かな,2,"埋め, ゐる",3,"セーター, 顎, 女優",17,6,セーターに顎を埋めて少女期去る,9,セーラー服白のきはまる五月かな,9,朝の日に笹子きてゐる流かな
セーターの胸の高さを解かれけり,-24.479136,0.9849348068237305,0.9999997019767761,セーター,三冬,けり,1,解か,3,"セーター, 胸, けり",17,8,白薔薇の胸の高さに咲きにけり,8,田の草の花の盛りを引かれけり,8,セーターの胸の薔薇ごと愛さるる
セーターのまぶしきまでに匂ひけり,-24.48601,0.9824502468109131,0.9999997019767761,セーター,三冬,けり,1,匂ひ,3,"セーター, しき, けり",17,8,筍のかなしきまでに湿りけり,8,梅雨明けのまぶしき顔の揃ひけり,9,マフラーやうれしきまでに月あかり
セーターの胸の高さを思いおり,-24.492514,0.9904991388320923,0.9999996423721313,セーター,三冬,,2,"思い, おり",2,"セーター, 胸",17,7,セーターの胸にV切る銀ぐさり,8,落球と藤の長さを思いけり,8,セーターの上に口あり笑ひあり
セーターの胸の高さにピアノ鳴る,-24.494984,0.9829972982406616,0.9999997019767761,セーター,三冬,,1,鳴る,3,"セーター, 胸, ピアノ",17,7,セーターの胸の薔薇ごと愛さるる,8,セーターの赤標的になっている,9,セーターの錨の模様胸を逸れ
セーターの胸の奥まで見通しに,-24.500319,0.9822655320167542,0.9999996423721313,セーター,三冬,,0,,4,"セーター, 胸, 奥, 見通し",17,8,セーターの樅の木の色会ひたしよ,8,セーターの胸にV切る銀ぐさり,8,余呉の駅寒し湖まで見通しに
セーターの胸の高さに目覚めたり,-24.500742,0.9874948859214783,0.9999997019767761,セーター,三冬,,1,目覚め,2,"セーター, 胸",17,8,雲海の高さに目覚め故郷たり,8,セーターの胸の薔薇ごと愛さるる,8,セーターの胸にV切る銀ぐさり
セーターに顎つつ込んで妻の留守,-24.509794,0.9911481738090515,0.9999997019767761,セーター,三冬,,1,込ん,4,"セーター, 顎, 妻, 留守",17,7,セーターにつつむ遠野の喉仏,9,セーターに顎を埋めて少女期去る,9,セーターに顎まで埋め怠惰なり
セーターの胸の高さを飛び越えて,-24.517057,0.9769943356513977,0.9999992251396179,セーター,三冬,,1,飛び越え,2,"セーター, 胸",17,8,セーターの胸の薔薇ごと愛さるる,9,セーターの樅の木の色会ひたしよ,9,強風の落葉礎石を跳び越えて
セーターを着せられている父と母,-24.53931,0.9879076480865479,0.9999996423721313,セーター,三冬,,2,"着せ, いる",3,"セーター, 父, 母",17,6,セーターを着せられし子の兎跳び,9,セーターをあれこれ鏡に夫癒ゆる,9,外套を着せられてゐる別れかな
セーターを着て約束を違へたる,-24.586233,0.9935317635536194,0.9999996423721313,セーター,三冬,,2,"着, 違へ",2,"セーター, 約束",17,7,セーターを着て風狂に遠くをり,8,セーターを着て晩年のまだ見えず,9,セーターを両手縛りに肚決めて
セーターの胸をはだけて疾走す,-24.597626,0.984574556350708,0.9999997019767761,セーター,三冬,,2,"はだけ, 疾走す",3,"セーター, 胸, 疾走",17,8,セーターの胸にV切る銀ぐさり,8,炎天の鎖をひいて疾走す,8,甚平の前をはだけて宇宙論
セーターの襟を正しく揃へたる,-24.618484,0.9888333678245544,0.9999997019767761,セーター,三冬,,1,揃へ,2,"セーター, 襟",17,7,セーターの中に貧しき丘がある,8,セーターの袖口ゆるく一人なり,8,セーターの赤標的になっている
セーターを着て人形の顔となる,-24.620071,0.9943647384643555,0.9999997019767761,セーター,三冬,,2,"着, なる",3,"セーター, 人形, 顔",17,7,寒紅をひきて女形の顔となる,7,セーターを着て晩年のまだ見えず,7,セーターを着て風狂に遠くをり
セーターを着せられてゐる真昼かな,-24.624887,0.9942485094070435,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 真昼",17,6,外套を着せられてゐる別れかな,7,セーターを着せられし子の兎跳び,8,下萌にねぢ伏せられてゐる子かな
セーターを首に吊して写真撮る,-24.633572,0.9870632886886597,0.9999997019767761,セーター,三冬,,2,"吊し, 撮る",3,"セーター, 首, 写真",17,7,セーターの中に貧しき丘がある,8,合鍵を首に吊して風となる日,9,十団子を軒に吊して許六の忌
セーターの襟を正して客を待つ,-24.646793,0.9917486906051636,0.9999997019767761,セーター,三冬,,2,"正し, 待つ",3,"セーター, 襟, 客",17,6,籐椅子の位置を正して客を待つ,8,萩千枝花を盡して望を待つ,8,セーターの錨の模様胸を逸れ
セーターを着て橋渡る女かな,-24.65883,0.9959235787391663,0.9999997019767761,セーター,三冬,かな,2,"着, 橋渡る",3,"セーター, 橋, 女",17,7,セーターを着て風狂に遠くをり,8,牡丹に家を毀てる埃かな,8,菅笠を着て鏡見る茶摘かな
セーターに赤鉛筆の走り書き,-24.6711,0.9790551066398621,0.9999996423721313,セーター,三冬,,0,,4,"セーター, 赤, 鉛筆, 走り書き",17,8,セーターに乳頭尖らせて少女,8,セーターに枯葉一片旅さむし,8,セーターにつつむ遠野の喉仏
セーターを着こなしてゐる母かなし,-24.699217,0.9901340007781982,0.9999997019767761,セーター,三冬,,3,"着, こなし, ゐる",2,"セーター, 母",17,9,白波を繰り出してゐる霞かな,9,鼠花火をはげましてゐる女かな,9,フレームをはみ出してゐる蕾かな
セーターの胸の高さを跨ぎ越す,-24.704075,0.9806389808654785,0.9999997019767761,セーター,三冬,,1,跨ぎ越す,2,"セーター, 胸",17,8,セーターの胸にV切る銀ぐさり,8,セーターの錨の模様胸を逸れ,8,セーターの胸の薔薇ごと愛さるる
セーターの胸の高さに立ち直る,-24.706049,0.9854375123977661,0.9999997019767761,セーター,三冬,,1,立ち直る,2,"セーター, 胸",17,7,寒林の海の蒼さに立ち上る,7,セーターの胸の薔薇ごと愛さるる,8,サーファーの寒の怒濤に立ち向ふ
セーターの胸の高さに身を揺らす,-24.710354,0.9832291007041931,0.9999997019767761,セーター,三冬,,1,揺らす,3,"セーター, 胸, 身",17,8,セーターの胸の薔薇ごと愛さるる,8,セーターの錨の模様胸を逸れ,8,省線の夜の秋風に身を曝らす
セーターの胸のあたりを少女過ぐ,-24.711279,0.9847128987312317,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 胸, あたり, 少女, ぐ",17,8,セーターの色とりどりに八岳仰ぐ,8,セーターの胸の薔薇ごと愛さるる,8,セーターの錨の模様胸を逸れ
セーターを着て大胆に老いゆくか,-24.714855,0.9880009293556213,0.9999997019767761,セーター,三冬,,3,"着, 老い, ゆく",1,セーター,17,7,セーターを着て風狂に遠くをり,8,寒灸の肩を互に老いゆくか,8,セーターを着て晩年のまだ見えず
セーターを着て行列の中にゐる,-24.71494,0.9892076849937439,0.999999463558197,セーター,三冬,,2,"着, ゐる",3,"セーター, 行列, 中",17,7,セーターを着て晩年のまだ見えず,7,セーターを着て風狂に遠くをり,8,小豆粥吹いて齢の中にゐる
セーターの胸の高さに身を沈め,-24.715628,0.985140323638916,0.9999996423721313,セーター,三冬,,1,沈め,3,"セーター, 胸, 身",17,7,セーターの錨の模様胸を逸れ,8,祈る手の胸の高さに秋の風,8,セーターの胸にV切る銀ぐさり
セーターを着せられてゐて真顔なり,-24.716442,0.9933844804763794,0.9999997019767761,セーター,三冬,,2,"着せ, ゐ",2,"セーター, 真顔",17,7,セーターを着せられし子の兎跳び,9,外套を着せられてゐる別れかな,9,セーターを着て風狂に遠くをり
セーターの胸の高さに母がゐる,-24.720297,0.9859730005264282,0.9999997019767761,セーター,三冬,,1,ゐる,3,"セーター, 胸, 母",17,7,セーターの中に貧しき丘がある,7,セーターの胸の薔薇ごと愛さるる,8,祈る手の胸の高さに秋の風
セーターの胸の高さで転勤す,-24.729013,0.9888529181480408,0.9999997019767761,セーター,三冬,,1,転勤す,3,"セーター, 胸, 転勤",17,7,セーターの錨の模様胸を逸れ,8,セーターの紫許せ紫禁城,8,セーターに頭のかたち頭出る
セーターの胸をはだけて恋の猫,-24.734238,0.9754747748374939,0.9999997019767761,セーター,三冬,,1,はだけ,4,"セーター, 胸, 恋, 猫",17,8,セーターの胸にV切る銀ぐさり,8,法要の座を駈け抜けて恋の猫,8,甚平の前をはだけて宇宙論
セーターに顎の力を集めけり,-24.738377,0.9862689971923828,0.9999997019767761,セーター,三冬,けり,1,集め,4,"セーター, 顎, 力, けり",17,6,単席に蕨の塵を集めけり,7,セーターに顎まで埋め怠惰なり,7,セーターに頭のかたち頭出る
セーターの胸の高さに海鳴りす,-24.745863,0.9842512607574463,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 胸, 海鳴り",17,8,セーターの錨の模様胸を逸れ,8,セーターの胸にV切る銀ぐさり,8,初花の朴の高さに勤行す
セーターの胸の高さを揃へけり,-24.753744,0.9853938817977905,0.9999997019767761,セーター,三冬,けり,1,揃へ,3,"セーター, 胸, けり",17,7,母の日の母の草履を揃へけり,7,セーターの胸にV切る銀ぐさり,8,噴水の同じ高さを怖れけり
セーターの胸をはだけて立話,-24.78034,0.9842507839202881,0.9999997019767761,セーター,三冬,,1,はだけ,3,"セーター, 胸, 立話",17,8,駅煖炉添乳の胸をはだけたる,8,セーターの胸にV切る銀ぐさり,8,セーターの黒い弾力親不孝
セーターの胸の中まで美しく,-24.79209,0.9840680956840515,0.9999996423721313,セーター,三冬,,0,,3,"セーター, 胸, 中",17,7,セーターの錨の模様胸を逸れ,8,ひたひたと胸の中まで月の湖,8,セーターの胸にV切る銀ぐさり
セーターを着てレース編む女かな,-24.792442,0.9932855367660522,0.9999997019767761,セーター,三冬,かな,2,"着, 編む",3,"セーター, レース, 女",17,8,セーターを着て晩年のまだ見えず,8,セーターを着て風狂に遠くをり,9,セーターを脱ぎてセーターあたたかし
セーターの人形の胸突き刺さり,-24.80741,0.9685623049736023,0.9999997019767761,セーター,三冬,,1,突き刺さり,3,"セーター, 人形, 胸",17,7,セーターの胸にV切る銀ぐさり,8,セーターの袖口ゆるく一人なり,8,セーターの錨の模様胸を逸れ
セーターの胸熱くして老いにけり,-24.810833,0.9884034991264343,0.9999997019767761,セーター,三冬,けり,1,し,4,"セーター, 胸, 老い, けり",17,5,セーターの赤が似合ひて老いにけり,7,春愁の一句無くして老いにけり,7,保養所の猟犬にして老いにけり
セーターの中にも色のありにけり,-24.836218,0.9881855845451355,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 中, 色, あり, けり",17,6,かりそめの露にも影のありにけり,6,花疲れ夢の中にもありにけり,6,金魚玉の中に睡魔のありにけり
セーターの首といふものありにけり,-24.848682,0.9874101281166077,0.9999997019767761,セーター,三冬,けり,1,いふ,5,"セーター, 首, もの, あり, けり",17,5,壷焼の蓋といふものありにけり,6,破れ傘花といふものありにけり,6,水澄みて色といふものありにけり
セーターの胸の高さに灯りけり,-24.862253,0.987559974193573,0.9999997019767761,セーター,三冬,けり,1,灯り,3,"セーター, 胸, けり",17,6,河骨の水の幽さに灯りけり,7,一足の石の高きに登りけり,7,誰かれの墓の高さに菊咲けり
セーターに首をのせたる子供かな,-24.88257,0.987091064453125,0.9999997019767761,セーター,三冬,かな,1,のせ,3,"セーター, 首, 子供",17,8,霜解に転んで来たる子供かな,8,セーターに頭のかたち頭出る,8,雛の日の海をのせたる籬かな
セーターの襟を正して横抱きに,-24.894066,0.984337568283081,0.9999978542327881,セーター,三冬,,1,正し,3,"セーター, 襟, 横抱き",17,8,セーターの中に貧しき丘がある,8,夏山の襟を正して最上川,9,セーターに顎を埋めて少女期去る
セーターの胸あたたかく人眠る,-24.895435,0.9845293164253235,0.9999997019767761,セーター,三冬,,1,眠る,3,"セーター, 胸, 人",17,8,セーターに頭のかたち頭出る,8,セーターの袖口ゆるく一人なり,8,岩山の岩あたたかく子守居る
セーターを首に吊して旅に出る,-24.899374,0.9867509603500366,0.9999997019767761,セーター,三冬,,2,"吊し, 出る",3,"セーター, 首, 旅",17,7,セーターの中に貧しき丘がある,8,合鍵を首に吊して風となる日,8,セーターに頭のかたち頭出る
セーターの首のあたりが動き出す,-24.906534,0.985442042350769,0.9999996423721313,セーター,三冬,,2,"動き, 出す",3,"セーター, 首, あたり",17,8,セーターに頭のかたち頭出る,9,麦秋の首のあたりに棲む家族,9,葛の葉や膝のあたりで引き返す
セーターを着こなしてゐる明るさよ,-24.907885,0.9910306334495544,0.9999997019767761,セーター,三冬,,3,"着, こなし, ゐる",1,セーター,17,10,貧農家雪囲ひして明るさよ,10,セーターの中に貧しき丘がある,10,セーターを着て晩年のまだ見えず
セーターを着てまなじりをもてあます,-24.916986,0.9533554911613464,0.9768510460853577,セーター,三冬,,2,"着, もてあます",2,"セーター, まなじり",17,10,セーターを着て晩年のまだ見えず,10,握飯あたら冷まじくもてあます,10,セーターを着て風狂に遠くをり
セーターの胸の高さに乗り切れず,-24.933159,0.9842560291290283,0.9999997019767761,セーター,三冬,,2,"乗り, 切れ",2,"セーター, 胸",17,8,セーターの胸の薔薇ごと愛さるる,8,セーターの錨の模様胸を逸れ,9,綿虫飛ぶ胸の高さにしか飛ばず
セーターの胸をはだけて円覚寺,-24.939213,0.9816997051239014,0.9999997019767761,セーター,三冬,,1,はだけ,3,"セーター, 胸, 円覚",17,8,セーターの胸にV切る銀ぐさり,8,甚平の前をはだけて宇宙論,9,セーターの赤標的になっている
セーターを着こなしてゐる夕餉かな,-24.96148,0.9921166896820068,0.9999997019767761,セーター,三冬,かな,3,"着, こなし, ゐる",2,"セーター, 夕餉",17,9,鼠花火をはげましてゐる女かな,9,稲のほをおこして通る田道かな,9,端然と恋をしてゐる雛かな
セーターの胸の高さを空となす,-24.966898,0.9813565015792847,0.9999997019767761,セーター,三冬,,1,なす,3,"セーター, 胸, 空",17,8,セーターの袖口ゆるく一人なり,8,セーターの錨の模様胸を逸れ,8,セーターの胸の薔薇ごと愛さるる
セーターを着せられて胸うつくしく,-24.969044,0.989940881729126,0.9999995827674866,セーター,三冬,,1,着せ,2,"セーター, 胸",17,7,セーターを着せられし子の兎跳び,9,セーターを着て風狂に遠くをり,10,歯朶の塵こぼれて畳うつくしき
セーターを着せられてゐることも知る,-24.977648,0.9876691699028015,0.9999996423721313,セーター,三冬,,3,"着せ, ゐる, 知る",2,"セーター, こと",17,8,セーターを着せられし子の兎跳び,9,外套を着せられてゐる別れかな,10,大寒に試みられてゐるとする
セーターの胸の高さを想ひ出す,-24.990717,0.9885867238044739,0.9999997019767761,セーター,三冬,,2,"想ひ, 出す",2,"セーター, 胸",17,8,コーヒーゼリー雁の寒さを思ひ出す,8,セーターに頭のかたち頭出る,8,セーターの錨の模様胸を逸れ
セーターを着て少女期に入りにけり,-24.999863,0.995245099067688,0.9999997019767761,セーター,三冬,けり,2,"着, 入り",4,"セーター, 少女, 期, けり",17,7,セーターを着て風狂に遠くをり,8,横縞を着て陽炎に入りゆけり,9,初刷を持ちて炬燵に入りにけり
セーターを着こなしている父のこと,-25.002008,0.9933891296386719,0.9999996423721313,セーター,三冬,,3,"着, こなし, いる",3,"セーター, 父, こと",17,10,セーターを着せられし子の兎跳び,10,セーターを着て風狂に遠くをり,10,セーターを着て晩年のまだ見えず
セーターを着せて少年老いにけり,-25.006372,0.992957592010498,0.9999997019767761,セーター,三冬,けり,1,着せ,4,"セーター, 少年, 老い, けり",17,7,セーターを着て風狂に遠くをり,7,セーターの赤が似合ひて老いにけり,7,氷片を蹴りて少年老いゆけり
セーターの襟の中より乳母車,-25.009031,0.9888359904289246,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 襟, 中, 乳母車",17,7,クローバーの花の上押す乳母車,7,セーターの錨の模様胸を逸れ,8,狼の穴の中より鼠茸
セーターの胸の高さに鬼やらふ,-25.019432,0.9798526763916016,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 胸, 鬼",17,8,セーターの白は誰にも似合ふ色,8,祈る手の胸の高さに秋の風,8,セーターの胸の薔薇ごと愛さるる
セーターの胸の高さに体操す,-25.037273,0.9825937151908875,0.9999997019767761,セーター,三冬,,1,体操す,3,"セーター, 胸, 体操",17,7,祈る手の胸の高さに秋の風,7,初花の朴の高さに勤行す,7,セーターの錨の模様胸を逸れ
セーターに顎までつけて歩きけり,-25.039669,0.9841169118881226,0.9999997019767761,セーター,三冬,けり,2,"つけ, 歩き",3,"セーター, 顎, けり",17,6,セーターに顎まで埋め怠惰なり,8,払ひきれぬ草の実つけて歩きけり,9,踊る輪の廻るにつれて歩きけり
セーターの胸の高さに年逝かす,-25.045643,0.980291485786438,0.9999997019767761,セーター,三冬,,1,逝かす,3,"セーター, 胸, 年",17,8,祈る手の胸の高さに秋の風,8,セーターの胸の薔薇ごと愛さるる,8,セーターの錨の模様胸を逸れ
セーターをはみ出してゐる天使かな,-25.05058,0.9908661246299744,0.9999997019767761,セーター,三冬,かな,2,"はみ出し, ゐる",2,"セーター, 天使",17,6,フレームをはみ出してゐる蕾かな,7,囀のはみ出してゐる大樹かな,8,白波を繰り出してゐる霞かな
セーターの少女憲法記念の日,-25.086021,0.988906741142273,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 少女, 憲法, 記念, 日",17,6,草花の市へ憲法記念の日,7,真白なる卓布や憲法記念の日,7,写真屋に鳩来る憲法記念の日
セーターの胸の高さのほてりかな,-25.098928,0.9839524626731873,0.9999997019767761,セーター,三冬,かな,1,ほてり,2,"セーター, 胸",17,8,水仙の花の高さの日影かな,8,セーターの胸の薔薇ごと愛さるる,8,室生寺の塔の高さの緑雨かな
セーターを脱ぐ全身をもてあまし,-25.120518,0.9831557273864746,0.9999997019767761,セーター,三冬,,2,"脱ぐ, もてあまし",2,"セーター, 全身",17,9,福引の野菜の嵩をもてあまし,9,草取女足の長さをもてあまし,9,セーターをくぐる両手が宙を突く
セーターの胸の高さの乗馬服,-25.135767,0.962715744972229,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 乗馬, 服",17,7,セーターの錨の模様胸を逸れ,8,風薫る金のボタンの乗馬服,8,セーターの紫許せ紫禁城
セーターの中の大きな男の子,-25.136408,0.9923893809318542,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 中, 男の子",17,7,セーターの錨の模様胸を逸れ,7,カーテンの隙に大きな春の雪,7,昨日より声の大きな燕の子
セーターの胸の高さを廻転す,-25.138859,0.9840547442436218,0.9999997019767761,セーター,三冬,,1,廻転す,3,"セーター, 胸, 廻転",17,7,セーターの錨の模様胸を逸れ,8,セーターの胸の薔薇ごと愛さるる,8,祈る手の胸の高さに秋の風
セーターを着こなしてゐる男ゐて,-25.147005,0.9894384741783142,0.9999997019767761,セーター,三冬,,4,"着, こなし, ゐる, 男ゐ",2,"セーター, 男",17,9,セーターを着せられし子の兎跳び,9,セーターを着て晩年のまだ見えず,9,セーターを着て風狂に遠くをり
セーターを着ていつまでも妻とゐる,-25.154224,0.9960426688194275,0.9999997019767761,セーター,三冬,,2,"着, ゐる",2,"セーター, 妻",17,9,風花の空をいつまで眺めゐる,9,セーターを着て晩年のまだ見えず,9,セーターを着て風狂に遠くをり
セーターの胸突きあげてゆきにけり,-25.16969,0.9842623472213745,0.9999997019767761,セーター,三冬,けり,1,突きあげ,4,"セーター, 胸, ゆき, けり",17,7,セーターの赤が似合ひて老いにけり,8,夕顔の悲鳴をあげて咲きにけり,9,松明けの蟹船を出てゆきにけり
セーターを着せられてゐる背丈かな,-25.170547,0.9827307462692261,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 背丈",17,6,外套を着せられてゐる別れかな,7,セーターを着せられし子の兎跳び,8,福耳を褒められてゐる接木かな
セーターに顎やはらかく着てゐたり,-25.176497,0.9838244318962097,0.9999996423721313,セーター,三冬,や,2,"着, ゐ",3,"セーター, 顎, はら",17,9,湯豆腐に膝やはらかく崩しけり,9,走り茶や水やはらかく使ひたり,9,春暁を髪やはらかく目覚めたり
セーターを着せられてゐる一人なり,-25.190577,0.9951935410499573,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",2,"セーター, 一人",17,7,セーターを着せられし子の兎跳び,8,セーターの袖口ゆるく一人なり,8,外套を着せられてゐる別れかな
セーターに包み忘れし手紙かな,-25.191998,0.987738847732544,0.9999997019767761,セーター,三冬,かな,3,"包み, 忘れ, し",2,"セーター, 手紙",17,7,旧年の畑に忘れし手鍬かな,8,ストーヴに遂に投ぜし手紙かな,8,梟の聲にみだれし螢かな
セーターを着こなしてゐる朝の椅子,-25.196173,0.993966817855835,0.9999997019767761,セーター,三冬,,3,"着, こなし, ゐる",3,"セーター, 朝, 椅子",17,9,セーターより子の頸が出る朝の雪,10,セーターを着て晩年のまだ見えず,10,夏空を突きさしてゐる塔の群
セーターをはみ出してゐる怒濤音,-25.201487,0.981518030166626,0.9999997019767761,セーター,三冬,,2,"はみ出し, ゐる",3,"セーター, 怒濤, 音",17,7,肩幅をはみ出してゐる麦藁帽,7,フレームをはみ出してゐる蕾かな,8,父だけがはみ出してゐる砂日傘
セーターに胸突込んで戻りけり,-25.21776,0.988105058670044,0.9999997019767761,セーター,三冬,けり,2,"突込ん, 戻り",3,"セーター, 胸, けり",17,8,銃を肩に青きを踏で戻りけり,8,雲衲等霰に飛んで帰りけり,8,セーターに首長族のここちせり
セーターの胸の高さに耳ふたつ,-25.231544,0.9839969873428345,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 耳, ふた",17,8,セーターの胸にV切る銀ぐさり,8,セーターの錨の模様胸を逸れ,8,セーターの樅の木の色会ひたしよ
