本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
尻立てて人を笑はす年男,-29.819801,0.995547890663147,0.9999997019767761,年男,新年,,2,"立て, 笑は",3,"尻, 人, 年男",17,7,飯褒めて妻を笑はす啄木忌,7,追肥して臍を笑はす青田中,8,志立てて涼しも不言
剃刀を削り立てたる年男,-29.853119,0.9853853583335876,0.9999996423721313,年男,新年,,2,"削り, 立て",2,"剃刀, 年男",17,7,松明に導かれたる年男,7,一椀を思ひ立ちたる薺粥,7,一本を抛り足したる初鰹
漂流記読むはひとりの年男,-29.86988,0.9241266250610352,0.9999997019767761,年男,新年,,1,読む,3,"漂流, ひとり, 年男",17,8,西行の松はひとりに昼蛙,8,漂流記読むときどきは鳥威す,8,墓の妻いまはひとりや都草
はらわたを跨いで来たる年男,-29.883574,0.9880372285842896,0.9999997019767761,年男,新年,,2,"跨い, 来たる",2,"はらわた, 年男",17,8,はらわたをしぼる吟なし蕨餅,8,可笑しさを絞り出したる年男,8,昼顔の蔓を跨いで晴れ男
親のなき母となりたる年男,-29.887772,0.9947148561477661,0.9999997019767761,年男,新年,,1,なり,3,"親, 母, 年男",17,6,象の目の皺となりたる寒旱,6,象の目の雛となりたる寒旱,6,桐の木の棒となりたる冬構
年男郵便局に駆け込みぬ,-29.908564,0.9904480576515198,0.9999997019767761,年男,新年,,1,駆け込み,3,"年男, 郵便, 局",17,7,虹待たせ郵便局に駆けこめり,8,狐罠西瓜畑にかけてみむ,8,大南瓜郵便局に飾られて
子を連れて村を出づれば年男,-29.90895,0.9952855706214905,0.9999997019767761,年男,新年,,2,"連れ, 出",4,"子, 村, づれ, 年男",17,7,骨を抱いて家を出づれば寒き霧,8,子を連れて鴨の渉れり枯山水,8,子を連れて鳩吹過る小村哉
隅田川濁りながれて年男,-29.911415,0.9801747798919678,0.9999997019767761,年男,新年,,1,ながれ,4,"隅田, 川, 濁り, 年男",17,7,神風の伊勢に生れて年男,7,鶯に天竜濁りながれたり,8,紅梅に牛つながれて泪ぐむ
東京の遠さ忘れて年男,-29.931133,0.9897136688232422,0.9999997019767761,年男,新年,,1,忘れ,2,"東京, 年男",17,6,東京の暑さ逃れて来し思ひ,6,東西の塔へ別れて稲雀,6,神風の伊勢に生れて年男
太陽もうしろを向いて年男,-29.97762,0.9059771299362183,0.9999996423721313,年男,新年,,1,向い,3,"太陽, うしろ, 年男",17,6,一羽だけうしろを向いて初雀,7,筍にもう包下を置いてある,7,筍にもう包丁を置いてある
玉砂利を這い上りたる年男,-29.981268,0.9806686043739319,0.9999997019767761,年男,新年,,1,這い上り,2,"玉砂利, 年男",17,7,鹿尾菜刈り立上りたる大男,8,夏草を這上りたる晝寝かな,8,真田井戸這ひ上りゐる青蛙
一椀の粥あたためぬ年男,-29.981966,0.9871369004249573,0.9999997019767761,年男,新年,,1,あたため,4,"一, 椀, 粥, 年男",17,6,露の日の肩あたためぬ立話,7,一門の人を集めて年忘,7,砂浜の砂あたたかき粟筵
一杯の水ぬるみけり年男,-30.04251,0.9858701825141907,0.9999997019767761,年男,新年,けり,1,ぬるみ,4,"一杯, 水, けり, 年男",17,5,御手洗の水ぬるみけり男山,6,鷺烏雀の水もぬるみけり,6,水道の水ぬるみけり木場の雨
一匹の魚見てゐる年男,-30.080376,0.9930218458175659,0.9999997019767761,年男,新年,,2,"魚見, ゐる",3,"一, 魚, 年男",17,6,山里の幟見て来よ京男,6,一月の空見て椿油かな,6,料峭の山を見てゐる里心
街道を横に渡りて年男,-30.083519,0.9882670044898987,0.9999995231628418,年男,新年,,1,渡り,3,"街道, 横, 年男",17,6,庭先を店に造りて氷旗,7,夏川を二つ渡りて永田村,7,神灯の色に染りて鏡餅
大津絵の鬼をたたへて年男,-30.121744,0.9860374927520752,0.9999997019767761,年男,新年,,1,へ,4,"大津, 絵, 鬼, 年男",17,6,大津絵の鬼が見栄切る年忘,7,薄紅梅の色をたたみて桜餅,7,大津絵の鬼と遊びし夏初め
年男山を仰ぎて帰りけり,-30.183018,0.9852198362350464,0.9999997019767761,年男,新年,けり,2,"仰ぎ, 帰り",3,"年男, 山, けり",17,6,墓参道草食うて帰りけり,6,炎天に墓を残して帰りけり,6,鮎膾山雨弾みて到りけり
一管の笛にあふれて年男,-30.211292,0.9865446090698242,0.9999997019767761,年男,新年,,1,あふれ,4,"一, 管, 笛, 年男",17,5,笑栗の籠にあふれて厨口,6,神風の伊勢に生れて年男,6,卵塔の何があふれて油蝉
六道の辻にもの問ふ年男,-30.232328,0.9809293746948242,0.9999997019767761,年男,新年,,1,問ふ,3,"六道, 辻, 年男",17,6,六道の辻に売らるる氷水,7,六十の面映えほのと年男,7,六道の辻の賑ひ草の市
鬣を振り上げて行く年男,-30.234062,0.9889563322067261,0.9999997019767761,行く年,仲冬,,2,"振り上げ, 行く",2,"鬣, 年男",17,7,喉仏ずりあげて鳴く大鴉,8,藪入の供して行や大男,8,鷹を吹き上げて黒々鞍馬杉
年男一人ふはりと帰りけり,-30.236532,0.9867947101593018,0.9999996423721313,年男,新年,けり,1,帰り,3,"年男, 一人, けり",17,6,緑蔭は人に譲りて帰りけり,7,入相を藪蚊は藪に帰りけり,7,唐扇西ふく秋に帰りけり
垣越しに小便したる年男,-30.259735,0.9884268641471863,0.9999996423721313,年男,新年,,1,小便し,3,"垣越し, 小便, 年男",17,6,松明に導かれたる年男,6,垣越しに隣より降る麦埃,6,真丸に小便したる夜寒哉
蹌踉と草を刈りゐる年男,-30.266348,0.9889779686927795,0.999999463558197,年男,新年,,2,"刈り, ゐる",2,"草, 年男",17,7,湖に夏草を刈り落しけり,7,枯芝と枯蔓映りゐる鏡,8,腸のひつかかりゐる蝿叩
商人にまぎれ込だる年男,-30.268291,0.9608550667762756,0.999999463558197,年男,新年,,0,,3,"商人, まぎれ, 年男",17,5,陽炎にまぎれ込だる伏家哉,5,白露にまぎれ込だる我家哉,5,白露にまぎれ込だる庵かな
もてなしの仏飯を炊く年男,-30.271135,0.9891138076782227,0.9999997019767761,年男,新年,,1,炊く,3,"もてなし, 仏飯, 年男",17,6,もてなしの筍飯や田螺和,7,もてなしの客三日目の冷奴,7,もてなしの白魚飯も母心
頬杖をつき別れたる年男,-30.279856,0.9845919013023376,0.9999997019767761,年男,新年,,2,"つき, 別れ",2,"頬杖, 年男",17,6,松明に導かれたる年男,7,頬杖をついて淋しや夕蛙,7,陶房を覗きに来たる寒雀
年男父となりゆく吾が家かな,-30.291637,0.9833024740219116,0.9999997019767761,年男,新年,かな,2,"なり, ゆく",3,"年男, 父, 吾が家",17,6,夜櫻となりゆく川の面かな,7,紅梅の花となりゆく淡さかな,7,月蝕の海となりゆく芭蕉かな
年男次第に老いて深みどり,-30.29312,0.9780468940734863,0.9999996423721313,年男,新年,,1,老い,3,"年男, 次第, 深みどり",17,7,花篝他郷に老いて踊りけり,8,七夕の風吹く岸の深みどり,8,象虫の団栗抱いて休みをり
組紐に笠をかけたる年男,-30.304148,0.9820526838302612,0.9999996423721313,年男,新年,,1,かけ,3,"組紐, 笠, 年男",17,5,松明に導かれたる年男,6,一村に投網かけたる朝霞,6,福引に耻をかきたる女哉
門前の墓掘り起す年男,-30.342834,0.9854981899261475,0.9999997019767761,年男,新年,,1,掘り起す,3,"門前, 墓, 年男",17,6,南大門址の藷掘り起す頃,7,門前の島は天草お講凪,7,門前の流に遊ぶ更衣
うつくしき二人の名前年男,-30.356352,0.9632716178894043,0.9999996423721313,年男,新年,,1,うつ,3,"二人, 名前, 年男",17,6,うつくしき母の戒名菊膾,6,うつくしき燈籠の猶哀れ也,6,うつくしき女主の河鹿宿
侘び住みも昔ながらの年男,-30.359735,0.07192438840866089,0.9999996423721313,年男,新年,,2,"侘び, 住み",2,"昔, 年男",17,8,菊園や歩きながらの小盃,8,陽炎や雫ながらの肴銭,8,初荷旗昔ながらの白木綿
一本の足駄をはいて年男,-30.39329,0.9939610362052917,0.999893307685852,年男,新年,,1,はい,3,"一, 足駄, 年男",17,6,一門の人を集めて年忘,7,神風の伊勢に生れて年男,7,三本の古筆を洗い書初す
装束をたがへてゐたる年男,-30.414434,0.983504593372345,0.9999997019767761,年男,新年,,1,ゐ,3,"装束, たが, 年男",17,7,山桜緑こらへてゐたるなり,7,本貫を問はれてゐたる鳥曇,7,鯉揚げを控へてゐたる冬桜
さざなみの重なりあふて年男,-30.415754,0.9812783002853394,0.9999997019767761,年男,新年,,1,あふ,3,"さざなみ, 重なり, 年男",17,7,石の上に重なりあふて蝸牛,7,春風や白帆重なりあふて行,8,さざなみの光の中を鴨泳ぐ
音もなく割れんばかりの年男,-30.424711,0.5421933531761169,0.9999996423721313,年男,新年,,1,割れん,2,"音, 年男",17,6,万歳の折れんばかりの大男,7,月もなく恋猫ばかり跳梁す,8,音もなく地球は廻り大旦
眠らんと立ち上りたる年男,-30.427721,0.9868053793907166,0.9999997019767761,年男,新年,,2,"眠ら, 立ち上り",1,年男,17,7,初蝶のたち上りたる枯葎,7,新米の立ち上りたる袋かな,7,白鳥の立上りたる水谺
四五人のかりそめならぬ年男,-30.43094,0.9882122874259949,0.9999997019767761,年男,新年,,0,,3,"四五, かりそめ, 年男",17,6,ふる雪のかりそめならず年用意,7,蟇の波紋かりそめならぬ砲音ぞ,7,白桃やかりそめならぬ今の幸
傘さして雨の暮れゆく年男,-30.435486,0.9066780209541321,0.9999997019767761,年男,新年,,2,"傘さし, 暮れゆく",3,"傘, 雨, 年男",17,6,傘さして雨の音呼ぶ白魚売,6,傘さして堰の上ゆく春の雨,7,傘さして雨の白梅折らはやな
卵塔に足投げ出して年男,-30.44352,0.9854553937911987,0.9999997019767761,年男,新年,,1,投げ出し,3,"卵塔, 足, 年男",17,6,春草に足投げ出して打笑める,6,太陽へ脚投げ出してゐる,7,巡礼の脚投げ出して桜かな
合掌の置きどころなき年男,-30.45193,0.985091507434845,0.9999997019767761,年男,新年,,0,,3,"合掌, 置きどころ, 年男",17,6,禅寺の身の置きどころなき余寒,6,足音の置きどころなし虫の闇,7,行水の捨どころなき虫の声
枕辺に眼鏡置きたる年男,-30.452095,0.9879010319709778,0.9999997019767761,年男,新年,,0,,3,"枕辺, 眼鏡, 年男",17,6,文机に三日置きたる種袋,6,松明に導かれたる年男,6,舷に洗ひ置きたる蜆笊
年男水の方へと流れゆく,-30.458094,0.9830711483955383,0.9999997019767761,年男,新年,,2,"流れ, ゆく",3,"年男, 水, 方",17,5,春の水都の方へ流れ行く,6,水枕椿一輪流れゆく,6,舷や菱の紅葉の流れゆく
客人に弓引かせたる年男,-30.463736,0.9860795736312866,0.9999996423721313,年男,新年,,1,弓引か,2,"客人, 年男",17,5,松明に導かれたる年男,7,若衆に水吹かせたる螢かな,7,蓬生に命かけたる暑哉
濯ぎ場の水に映りて年男,-30.472616,0.9845607876777649,0.9999997019767761,年男,新年,,1,映り,4,"濯ぎ, 場, 水, 年男",17,6,沢瀉の水に映りて月の暈,6,寒い藻の水に映っている,6,丹の橋の池に映りて牛蛙
幣立てて富士を見にゆく年男,-30.476454,0.6637688875198364,0.9999997019767761,年男,新年,,3,"立て, 見, ゆく",3,"幣, 富士, 年男",17,6,首立てて海を見にゆく秋の風,7,真白き富士を見にゆく建国日,7,首たてて海を見にゆく秋の風
念仏の闇をめぐりて年男,-30.478233,0.9891479015350342,0.9999996423721313,年男,新年,,1,めぐり,3,"念仏, 闇, 年男",17,6,朧銀の水のめぐりて初櫻,6,百姓の家をめぐりて梅の花,6,元旦の槇をめぐりて何の鳥
くらがりに袖ひかれたる年男,-30.47863,0.9859582185745239,0.9999997019767761,年男,新年,,1,ひか,3,"くらがり, 袖, 年男",17,6,松明に導かれたる年男,6,くらがりに風流れゐる吊忍,7,くらがりに水が慄へる星祭
半纏を着てかへりみる年男,-30.485304,0.9939968585968018,0.9999995231628418,年男,新年,,3,"着, へり, みる",2,"半纏, 年男",17,7,冬浜の足跡かへりみる未練,8,松明に導かれたる年男,8,会釈してかへりみらるる夕桜
年男こころもとなき昼餉どき,-30.50234,0.9870282411575317,0.9999997019767761,年男,新年,,1,き,2,"年男, 昼餉",17,7,青瓢こころもとなく坐りけり,7,探梅のこころもとなき人数かな,7,心拍のこころもとなき法師蝉
ゆるやかに通り過ぎゆく年男,-30.555243,0.7475345134735107,0.9999996423721313,年男,新年,,2,"通り, 過ぎゆく",1,年男,17,5,ゆるやかにときの過ぎゆく宵飾,8,ゆるやかに水鳥すすむ岸の松,8,ゆるやかに田植用意の御門内
燈台を高く上げたる年男,-30.567085,0.9875549674034119,0.9999997019767761,年男,新年,,1,上げ,2,"燈台, 年男",17,7,大太鼓担ぎ上げたる盆櫓,7,松明に導かれたる年男,7,雪空や死鶏さげたる作男
豆腐屋の軒並びたる年男,-30.569357,0.9109576344490051,0.9999997019767761,年男,新年,,0,,3,"豆腐, 軒並び, 年男",17,6,地謡の人並びたる袷哉,6,氷屋の軒並べたる納涼哉,7,豆腐屋のおから濛々年の暮
年男そろふて買ふて戻りけり,-30.582073,0.8252986669540405,0.9999997019767761,年男,新年,けり,3,"そろふ, 買ふ, 戻り",2,"年男, けり",17,6,春の雨摺鉢買ふて戻りけり,7,稻の花阿彌陀を買ふて戻りけり,7,熊賣って乾鮭買ふて歸りけり
働いて写経を習ふ年男,-30.592384,0.989656388759613,0.9999996423721313,年男,新年,,2,"働い, 習ふ",2,"写経, 年男",17,7,髪梳いて硯を洗ふ歌娘,7,働いて乳房冷たし山桜,7,働いて少し幸せ葱の花
一筋に行きあたりたる年男,-30.592607,0.9840677976608276,0.9999997019767761,年男,新年,,1,行きあたり,2,"一筋, 年男",17,5,稻妻に行きあたりたる闇夜哉,5,大仏につきあたりたる燕哉,5,大門につきあたりたる柳哉
紋付を着こなしてゐる年男,-30.609077,0.9929903149604797,0.9999996423721313,年男,新年,,3,"着, こなし, ゐる",2,"紋付, 年男",17,7,筍を掘りころがしてゐる男,7,大空を動かしてゐる鰯雲,7,人間を見下ろしてゐる寒鴉
頬杖をつき正座して年男,-30.615799,0.9754718542098999,0.9999997019767761,年男,新年,,2,"つき, 正座し",3,"頬杖, 正座, 年男",17,6,頬杖をついて淋しや夕蛙,7,頬杖をつきて一人や置炬燵,7,頬杖をつけば夏山眉の上
夢殿を出て傘さして年男,-30.624178,0.9893292784690857,0.9999997019767761,年男,新年,,2,"出, 傘さし",3,"夢殿, 傘, 年男",17,6,夢殿を出て八方の秋日和,7,穀蔵を出て山明し櫨紅葉,7,夢殿を出て炎天に捉へらる
玉砂利を踏めばひとりの年男,-30.624964,0.9785648584365845,0.9999997019767761,年男,新年,,1,踏め,3,"玉砂利, ひとり, 年男",17,7,青梅を噛めばひとりの秋津島,9,白砂を踏む音筍曇りなる,9,海彦を悼めば南風の青岬
老犬のしづかに歩く年男,-30.64914,0.9873725771903992,0.9999997019767761,年男,新年,,1,歩く,2,"老犬, 年男",17,6,老の箸しづかに薺粥啜る,6,心經の心しづかに年籠,6,一瀑のしづかに懸り山始
山国に水満たしたる年男,-30.649359,0.971616804599762,0.9999997019767761,年男,新年,,1,満たし,3,"山国, 水, 年男",17,6,松明に導かれたる年男,7,束髪に結ひ直したる暑哉,7,山脈に闇なじみたる薺打
神々の髭の伸びたる年男,-30.66453,0.9764672517776489,0.9999997019767761,年男,新年,,0,,4,"神々, 髭, 伸び, 年男",17,6,神々の裔の諸びと葱坊主,7,地謡の人並びたる袷哉,7,松島の景のあげたる稲雀
アメリカヘ帰還兵たり年男,-30.677027,0.9561879634857178,0.9999997019767761,年男,新年,,0,,4,"アメリカ, 帰還, 兵, 年男",17,8,アメリカの大屋根の下薺粥,8,アメリカの若き大地に鍬始,9,アメリカに家系はじまる魂祭
一碗の米を研ぎゐる年男,-30.677082,0.9954522252082825,0.9999997019767761,年男,新年,,2,"研ぎ, ゐる",4,"一, 碗, 米, 年男",17,7,露霜の道を掃きをる寺男,7,萬龍が米を磨ぎ居る櫻哉,7,禅寺の砂を浴びゐる初雀
米飯を炊き上げてゐる年男,-30.685158,0.9888748526573181,0.9999996423721313,年男,新年,,2,"炊き上げ, ゐる",2,"米飯, 年男",17,6,朝靄を引き上げてゐる夏の山,7,人影をひきよせてゐる冬畳,8,栗飯を炊きあぐ遠野物語
生涯に恥なかりけり年男,-30.687315,0.9907906651496887,0.9999996423721313,年男,新年,けり,0,,4,"生涯, 恥, けり, 年男",17,6,人間に骨なかりけり秋の風,6,十方に音なかりけり雪迎へ,7,七尺の男なりけり鯨賣
校庭を大きく歩く年男,-30.6938,0.9873117804527283,0.9999997019767761,年男,新年,,1,歩く,2,"校庭, 年男",17,5,校庭を大きく使ふ燕かな,6,新米を大きく握り少年に,6,薫風に大きく開く旅鞄
年男老いて俄かに人恋し,-30.69609,0.9881637096405029,0.9999997019767761,年男,新年,,1,老い,1,年男,17,7,山男老いては集ふ泉あり,7,紅梅に薄紅梅に人恋し,8,大朝寝して匂やかに現れし
島の子に見送られゐる年男,-30.7003,0.9924070239067078,0.9999997019767761,年男,新年,,2,"見送ら, ゐる",3,"島, 子, 年男",17,7,全身の汗にしばられゐる如し,7,松明に導かれたる年男,7,島の子にのぞかれゐたる昼寝覚
いくたびも吹き寄せられて年男,-30.702812,0.9770257472991943,0.9999997019767761,年男,新年,,1,吹き寄せ,3,"いく, たび, 年男",17,8,いくたびも櫂をうけいれ雪解川,8,春寒や吹き寄せられて遊女墓,8,いくたびも身を貫かれ雛の夜
竹藪に丸太積みある年男,-30.713806,0.9802306294441223,0.9999996423721313,年男,新年,,1,積みある,4,"竹藪, 丸太, 積み, 年男",17,6,笹鳴や丸太積みある吉野口,7,松明に導かれたる年男,8,山脈に闇なじみたる薺打
竹垣になりすましたる年男,-30.728598,0.9842049479484558,0.9999997019767761,年男,新年,,1,なりすまし,2,"竹垣, 年男",17,5,人間になりすましたる青大将,6,蛤になりすまして居る雀哉,7,葉桜になりおふせたる堤哉
学び舎の鏡に映る年男,-30.756817,0.9886301159858704,0.9999997019767761,年男,新年,,2,"学び, 映る",2,"鏡, 年男",17,7,ガラスの硬度に映る直線,7,五段目の楮承りぬ年男,7,秋深し鏡に映る女の奥
一本の榎にもどる年男,-30.758553,0.9881225824356079,0.9999997019767761,年男,新年,,1,もどる,3,"一, 榎, 年男",17,6,一本の枝に集中梅の花,6,旦暮の梅にも恥る柱哉,6,一本の蘆にも住める沼の風
篝火をながめてをれば年男,-30.759398,0.9930114150047302,0.9999997019767761,年男,新年,,2,"ながめ, をれ",2,"篝火, 年男",17,6,馬の顔ながめてをれば春の雪,8,篝火を先立て月の還御船,8,雨ぞらをながめて花の篝守
百歳の嫁ぎてよりの年男,-30.770893,0.985358476638794,0.9999997019767761,年男,新年,,1,嫁ぎ,2,"百, 年男",17,7,人影の過ぎては冬の霞草,7,極彩の版画みてよりの寒さ,7,畦焼の岐れてよりの炎立つ
遥かなるもの流れゆく年男,-30.788387,0.00930708646774292,0.9999997019767761,年男,新年,,1,流れゆく,2,"もの, 年男",17,6,草市のもの流れゆく戦川,7,静かなる雨の訣れや花青木,7,遥かなるものへ手を挙げ盆踊
年男心得顔に拝しけり,-30.808834,0.0004546046257019043,0.9999997019767761,年男,新年,けり,2,"心得, 拝し",3,"年男, 顔, けり",17,6,若水を大俎に流しけり,6,蛍籠暗き処に移しけり,6,角力取心を妻に明しけり
老いてなほ足まとひゐる年男,-30.820871,0.9932942986488342,0.9999997019767761,年男,新年,,2,"老い, まとひゐる",3,"足, まとひ, 年男",17,7,老いてなほ草にひそめる囮守,8,老いてなほ子に従はず菖蒲酒,8,老いてなほ夢多くして雛祭
年男同志の仲間よろこびて,-30.83831,0.9165157079696655,0.9998969435691833,年男,新年,,1,よろこび,3,"年男, 同志, 仲間",17,7,大寺や孑孑雨をよろこびて,8,鵯雀小春の光よろこべり,8,鱈漁の出初めの吹雪よろこびて
犬の眼に涙溜めたる年男,-30.83997,0.9871588349342346,0.9999997019767761,年男,新年,,1,溜め,4,"犬, 眼, 涙, 年男",17,6,松明に導かれたる年男,7,夕顔の花にさめたる暑哉,7,蹼の踏み固めたる雪渚
死ぬほどの力の余る年男,-30.843618,0.9903506636619568,0.9999994039535522,年男,新年,,2,"死ぬ, 余る",2,"力, 年男",17,7,書初の筆の力の余りけり,8,ふところの中の腕組み年男,8,舞初や女の中の美少年
さりげなく形見分けたる年男,-30.855536,0.9876828789710999,0.9999997019767761,年男,新年,,0,,2,"形見分け, 年男",17,8,さりげなく梅雨封じ込む旅鞄,8,古稀過ぎの貌煤けたる年男,8,さりげなく穀象潰しよく笑う
傘さして寝るばかりなる年男,-30.861992,0.9877468347549438,0.9999997019767761,年男,新年,,3,"傘さし, 寝る, なる",2,"傘, 年男",17,7,過去遠くなるばかりなる更衣,7,日がさして白ばかりなる走馬燈,8,年上の弟子ばかり持つ年男
旅にあることの嬉しさ年男,-30.87123,0.9894511103630066,0.9999997019767761,年男,新年,,1,ある,3,"旅, こと, 年男",17,6,都合つくことの淋しさ年忘,6,家にゐることの珍し虎が雨,7,橋わたることの愉しさ柳の芽
負ふものを身にまとひたる年男,-30.884989,0.985715925693512,0.9999997019767761,年男,新年,,2,"負ふ, ひたる",3,"もの, 身, 年男",17,9,初夢や鎧兜を身にまとひ,9,松明に導かれたる年男,9,負ふものに柱一本蕪むし
大磯に傘さしかけて年男,-30.903782,0.9866814613342285,0.9999997019767761,年男,新年,,1,さしかけ,3,"大磯, 傘, 年男",17,5,魂棚に傘さしかけて仏待つ,7,狙公に傘さしかけよならの京,7,秋雷に首さしのべて塒
肩かけを腰に掛けたる年男,-30.919668,0.9806695580482483,0.9999996423721313,年男,新年,,1,掛け,3,"肩かけ, 腰, 年男",17,7,仲秋や土間に掛けたる山刀,7,片足を船にかけたる薄衣,7,古稀過ぎの貌煤けたる年男
街道の喧嘩見に行く年男,-30.920027,0.9900254607200623,0.9999997019767761,行く年,仲冬,,2,"喧嘩見, 行く",3,"街道, 喧嘩, 年男",17,7,恐竜の卵見に行く春休み,7,蝸牛の喧嘩見に出ん五月雨,7,房州の波を見に来つ年忘
小袖着て覚束なくも年男,-30.929865,0.9892759919166565,0.9999997019767761,年男,新年,,1,着,2,"小袖, 年男",17,7,太箸や覚束なくも左利き,7,羽織着よ鞍馬法師も年男,7,鶯の覚束なくも初音哉
年男兄妹似たるもの通る,-30.938309,0.9739286303520203,0.9999992251396179,年男,新年,,2,"似, 通る",3,"年男, 兄妹, もの",17,7,鉾巡行柩に似たるもの交へ,7,年酒の泪ごときもの啜る,8,高水や荒れたる中の郭公
天平の筆塚めぐる年男,-30.962622,0.9815480709075928,0.9999997019767761,年男,新年,,1,めぐる,3,"天平, 筆塚, 年男",17,7,大佛を七度めぐる櫻哉,7,天平の柱を前に霜柱,7,稻妻の北極めぐる曇り哉
年男背中合せの匂ひせり,-30.966185,0.8991782665252686,0.9999997019767761,年男,新年,,2,"匂ひ, せ",2,"年男, 背中",17,6,白鳥の岸白鳥の匂ひせり,6,真鍮の手焙父の匂ひせり,6,書初の文鎮父の匂ひせり
年男老い行く如く歩きをり,-30.991148,0.9895104765892029,0.9999996423721313,年男,新年,,2,"老い, 行く",2,"年男, 歩き",17,7,年の市柳屋小さん歩きをり,8,武蔵野の春泥重く歩きけり,8,枝蛙鳴く行人は気づきをり
山川を曳きずつてゆく年男,-30.99959,0.9807614088058472,0.9999997019767761,年男,新年,,1,ゆく,3,"山川, 曳き, 年男",17,6,雲が陽をひきずつてゆく雪林,7,一山を吹き抜けてゆく青嵐,7,夢の尾を曳きずつてゐる春霞
年男ひとりとなりて留守の家,-31.03085,0.9887818694114685,0.9999996423721313,年男,新年,,1,なり,4,"年男, ひとり, 留守, 家",17,7,炎天やひとりとなつて風の声,7,冬耕のひとりとなりて生む谺,7,形代やひとりとなりし末子の名
夜遊びの子を負ひ歩く年男,-31.036041,0.9913429021835327,0.9999997019767761,年男,新年,,2,"負ひ, 歩く",3,"夜遊び, 子, 年男",17,7,大勢の子を連歩く雀哉,8,野遊びの袂を風にふくらませ,8,夜遊びの神が長息瓜畑
万貫の石に腰うつ年男,-31.03703,0.9731433391571045,0.9999997019767761,年男,新年,,1,うつ,5,"万, 貫, 石, 腰, 年男",17,7,人々の中に我あり年忘,7,大滝の谺相うつ杉襖,7,大殿の笑ひ聞えつ年忘
年男あつさり膝を揃へけり,-31.037754,0.9906190037727356,0.9999997019767761,年男,新年,けり,1,揃へ,3,"年男, 膝, けり",17,5,雛の客小さき膝を揃へけり,6,白玉に忌明の膝を揃へけり,7,土竜打幼き声を揃へけり
年男肩をそろへてゆるやかに,-31.046438,0.9901522994041443,0.9999995827674866,年男,新年,,2,"そろ, へ",2,"年男, 肩",17,7,蛍火の柳離れてゆるやかに,7,花見舟棹よこたへてゆるやかに,8,綿吹けり飲食の刻ゆるやかに
大津絵の鬼をめとりて年男,-31.062973,0.9476181864738464,0.9999997019767761,年男,新年,,1,めとり,4,"大津, 絵, 鬼, 年男",17,6,大津絵の鬼が見栄切る年忘,7,大津絵の鬼と遊びし夏初め,7,大津絵の鬼の酩酊夕立来る
みづうみへ寄せ返したる年男,-31.072334,0.7526631951332092,0.9999997019767761,年男,新年,,1,寄せ返し,3,"みづ, うみ, 年男",17,7,みづうみの風のすさめる年籠,8,みづうみの半眼にして鳰,8,みづうみの鳥翔たせたる秋の雲
駅前の茶店開けたる年男,-31.085196,0.9745832085609436,0.9999997019767761,年男,新年,,1,開け,3,"駅前, 茶店, 年男",17,7,松明に導かれたる年男,7,大川の風を避けたる暦売,7,古稀過ぎの貌煤けたる年男
寝つかれぬ顔をならべて年男,-31.100286,0.988366425037384,0.9999997019767761,年男,新年,,2,"寝つか, ならべ",2,"顔, 年男",17,7,寝つかれぬ枕となるや子規,8,つらつらと面ならべて蟇,8,睦じき顔をならべて炬燵哉
街道を通りかけたる年男,-31.127342,0.9915809631347656,0.9999996423721313,年男,新年,,2,"通り, かけ",2,"街道, 年男",17,6,片足を船にかけたる薄衣,6,松明に導かれたる年男,7,古稀過ぎの貌煤けたる年男
潮騒に隠れて歩く年男,-31.144348,0.9891679883003235,0.9999997019767761,年男,新年,,2,"隠れ, 歩く",2,"潮騒, 年男",17,7,寝袋に瞠きて聴く虎鶫,7,潮騒に勝る松風新松子,7,松明に導かれたる年男
百姓の考えている年男,-31.200186,0.9813452363014221,0.9999995827674866,年男,新年,,2,"考え, いる",2,"百姓, 年男",17,5,南北を考えている寒卵,6,百姓のわれにて終る飾臼,6,肉体が考えている秋の暮
町へ行くうしろ姿の年男,-31.240137,0.9914326667785645,0.999999463558197,年男,新年,,1,行く,3,"町, うしろ姿, 年男",17,6,蜻蛉行くうしろ姿の大きさよ,6,獣めくうしろ姿や耳袋,7,夏山のうしろ姿か青畳
働いて鞄重ねて年男,-31.248531,0.984826922416687,0.9999997019767761,年男,新年,,2,"働い, 重ね",2,"鞄, 年男",17,7,働いて乳房冷たし山桜,7,杉山に鱗重ねし鱗雲,7,蜩に和讃重ねて鬼来迎
日の出前埃まみれの年男,-31.250242,0.9922022819519043,0.9999997019767761,年男,新年,,0,,4,"日の出, 前, 埃まみれ, 年男",17,6,霜月の埃まみれの蟇,7,日の出前磯草夏も萌黄色,7,妻の力朝露まみれ草担ふ
村ぢゆうのまんなかにゐる年男,-31.25287,0.9890245795249939,0.9999997019767761,年男,新年,,1,ゐる,3,"村, まんなか, 年男",17,7,冬麗のまんなかにある床柱,7,迷彩色のまんなかにいる中年ら,8,梅林のまんなかにゐて水の音
